time,P_mean,best_case,worst_case
2018-01-14 12:30:00,1821.8531857324806,2243.0355828211323,1404.5558200051864
2018-01-14 12:45:00,1324.2651800649746,1750.9159857650711,892.7901854929369
2018-01-14 13:00:00,1738.8706131904091,2143.64491442479,1333.5485884264708
2018-01-14 13:15:00,1634.654548745605,1972.8292055918191,1296.0098788029109
2018-01-14 13:30:00,1926.453186490272,2266.0614633927535,1586.7554891531818
2018-01-14 13:45:00,1955.356348764085,2333.4409391511163,1578.5306154197915
2018-01-14 14:00:00,1414.90911294758,1771.0457782366793,1061.2178189481983
2018-01-14 14:15:00,534.8118635204619,842.1870239264808,227.2642952264705
2018-01-14 14:30:00,466.8652888627912,752.7794570314509,180.91215721999652
2018-01-14 14:45:00,592.4649639762056,890.3731415530265,294.3482677108859
2018-01-14 15:00:00,545.3917581308897,824.5633536240075,265.91512247394803
2018-01-14 15:15:00,715.1514082732556,1013.3860589563856,416.6378879983413
2018-01-14 15:30:00,843.0534074783545,1117.5310659394863,568.1530734694961
2018-01-14 15:45:00,817.7289554125746,1121.7465852431887,513.4575477316275
2018-01-14 16:00:00,658.6163633464221,968.7704292545604,348.37363767098486
2018-01-14 16:15:00,569.0711030722632,886.4276784306248,251.4464939845593
2018-01-14 16:30:00,830.6179702526606,1183.6923582339887,484.98701338313185
2018-01-14 16:45:00,835.8965269691344,1187.0396041098466,489.87887129341016
2018-01-14 17:00:00,-1479.3351083299458,-1112.9149233014687,-1841.7285408195721
2018-01-14 17:15:00,-4014.3408324720417,-3661.0080423153754,-4376.507839964428
2018-01-14 17:30:00,-3736.0163809990777,-3442.0129631409627,-4028.9927270146345
2018-01-14 17:45:00,-3732.4864275639643,-3428.507728497361,-4035.3611733373227
2018-01-14 18:00:00,-3375.843614257895,-3057.3990408907866,-3693.6890809906736
2018-01-14 18:15:00,-2746.845495734417,-2424.3566834929043,-3068.828192280615
2018-01-14 18:30:00,-2435.2668310833205,-2112.3454275940126,-2757.722061978394
2018-01-14 18:45:00,-1913.0062769029155,-1556.4577537940477,-2269.1260753143515
2018-01-14 19:00:00,-1766.2478510863157,-1430.3083445609027,-2101.979415817692
2018-01-14 19:15:00,-1491.5912772465672,-1146.6263791783595,-1836.3058796476735
2018-01-14 19:30:00,-1224.7191100195905,-874.4403782423233,-1574.9498672091004
2018-01-14 19:45:00,-1031.697413448589,-671.1704086370191,-1392.1840766483465
2018-01-14 20:00:00,-605.4763265594047,-224.80593677733668,-986.4333106052827
2018-01-14 20:15:00,-214.63892664551895,174.33813291587103,-603.9812624151191
2018-01-14 20:30:00,284.95575983219896,675.2620187703742,-105.65001330477844
2018-01-14 20:45:00,487.3553770558674,872.07257484418,102.41756282394181
2018-01-14 21:00:00,937.8673591526449,1311.3634802289316,564.3211949675406
2018-01-14 21:15:00,1141.1135874991614,1525.3629332755454,756.3048656568626
2018-01-14 21:30:00,1201.4399448968807,1585.540858564239,817.036403075409
2018-01-14 21:45:00,1177.9392297845425,1540.6250084616013,815.1046459353629
2018-01-14 22:00:00,1330.4755571671667,1712.3604240567147,948.4704373716777
2018-01-14 22:15:00,1344.970146979409,1708.133244149266,981.6006125190761
2018-01-14 22:30:00,1112.3165270940144,1468.9174539934984,755.4569415304586
2018-01-14 22:45:00,1238.1401999064874,1583.6175662568558,892.1636295919652
2018-01-14 23:00:00,1576.017981170572,1916.1556450000362,1235.5238941756616
2018-01-14 23:15:00,1641.0230818512164,1944.803481697275,1337.1887021720167
2018-01-14 23:30:00,1883.6377996470228,2199.580488889156,1567.4201850025065
2018-01-14 23:45:00,2578.1562072917823,2907.7019683751337,2248.094477191313
